word,total freq,idf,relative freq,sci. freq,news freq
journal,0.0018229238057803664,1.9088051576214917,0.13559987151204692,0.0015757355719402972,0.00024718823384006923
2017,0.005548526283345878,1.4494512562924142,0.2856457214958733,0.003963613489900728,0.0015849127934451496
17,0.002140118884009715,1.7551388565879131,0.25138693216086616,0.001602120963298976,0.0005379979207107389
12,0.0016817298518915522,1.7966878595007856,0.17724602361500943,0.0013836499228491157,0.0002980799290424364
2016,0.00245790229928238,1.5869673285187167,0.32241167476589444,0.001665445902559805,0.0007924563967225748
environmental,0.0038244046814938123,1.484313174458633,0.61212611485312,0.0014833867021849215,0.002341017979308891
change,0.027346982823392436,1.010989121575595,0.5923176119027124,0.011148883264696135,0.0161980995586963
climate,0.04222547985797413,1.0027359798188749,0.6325770560550955,0.015514610118903127,0.026710869739071007
studies,0.001525232371014704,1.7697804065808613,0.2287989888469521,0.0011762607467699004,0.0003489716242448036
study,0.0036891515544161275,1.6556092612408801,0.26604564185323826,0.0027076688612276173,0.0009814826931885102
energy,0.004737745253713543,1.781649982136245,0.7365774341101865,0.0012480290112655066,0.003489716242448036
use,0.0028071236224390013,1.6093285086768738,0.30820118199444996,0.0019419648039987589,0.0008651588184402422
based,0.0031729854881769816,1.5675019937306134,0.36202443012089613,0.0020242872250378365,0.001148698263139145
research,0.0038176266550984353,1.4932219193477427,0.5008540289347261,0.0019055529639237822,0.0019120736911746531
2013,0.0019191377449035182,1.8058203430640583,0.17426114451106434,0.0015847066050022481,0.0003344311399012701
carbon,0.004275562554514615,1.836878740084031,0.685268326182779,0.0013456549592926182,0.002929907595221997
et,0.004869156530306961,1.818128190738655,0.013438093258787821,0.0048037243507610605,6.543217954590067e-05
al,0.005027454514364543,1.7668348963511045,0.06507485981120918,0.004700293616635039,0.00032716089772950337
2011,0.0013867519495723915,1.8820477084519425,0.07339696939753323,0.001284968559167657,0.00010178339040473438
increase,0.002806945325814195,1.624518674170849,0.3237613013382218,0.0018981650543433521,0.0009087802714708426
adaptation,0.0029694829276072786,1.9899784476653144,0.28400503134210203,0.0021261348356823367,0.000843348091924942
different,0.002275147867526385,1.7124581254730327,0.28120427698225364,0.0016353665564109113,0.0006397813111154733
management,0.0019130334037475165,1.9293538258488794,0.23562318032008026,0.0014622783890979785,0.000450755014649538
2014,0.0022446656630062257,1.7407085917588843,0.22348393264948954,0.0017430189531543207,0.0005016467098519051
2015,0.002747952534532172,1.569914540135997,0.37568858101351266,0.0017155781461412948,0.0010323743883908774
2012,0.0018092532584191284,1.8058203430640583,0.22502850815627587,0.0014021196968001907,0.0004071335616189375
changes,0.0034627150404133887,1.5993284253422906,0.23725237445803923,0.0026411776750037467,0.0008215373654096418
effects,0.002596158158978234,1.6503599053547364,0.33044542117037795,0.0017382695827097587,0.0008578885762684755
values,0.0013556135967455279,2.023626481783547,0.12335046679383838,0.0011883980267948927,0.00016721556995063505
model,0.00413827041660069,1.8721954120089308,0.06324591963194981,0.0038765416984170875,0.0002617287181836027
2010,0.001632831320589216,1.8212289684169032,0.15583880147522725,0.00137837284457738,0.00025445847601183595
global,0.006995974151557768,1.244894797246572,0.6744431965098082,0.0022775869820811532,0.004718387169476615
using,0.00220533009283278,1.7349942904954458,0.16153675478076496,0.0018490882264162096,0.00035624186641657036
time,0.003479900827754592,1.4932219193477427,0.5118563488581305,0.0016986914956717404,0.0017812093320828516
development,0.0025088366685827763,1.7013776796964608,0.45206521133808575,0.0013746788897871648,0.0011341577787956118
figure,0.0022618091944348433,2.220502106277147,0.04178652578896408,0.0021672960462018756,9.451314823296764e-05
used,0.002694739810369143,1.6688544879909006,0.19964744597625564,0.002156741889658404,0.0005379979207107389
risk,0.0019408627050373165,1.9054210596372512,0.43826816388867346,0.0010902443709406076,0.0008506183340967088
health,0.002262985450336033,2.22980449893946,0.48511428466045303,0.0011651788823992552,0.001097806567936778
conditions,0.0017007771898150757,1.7997227631959396,0.26930350404752634,0.0012427519329937708,0.0004580252568213047
18,0.0012955689808327806,1.8754687373538999,0.17396025272224275,0.0010701914735080117,0.000225377507324769
data,0.004945481086342389,1.6715247165467797,0.29254549090826654,0.0034987028941608073,0.0014467781921815815
16,0.0012831393277979415,1.8527773261518292,0.164313429113784,0.001072302304816706,0.0002108370229812355
15,0.00164783888354378,1.7936621385842486,0.1853034142255028,0.0013424887123295768,0.00030535017121420316
potential,0.0014890522747334311,1.8058203430640583,0.26853544783627825,0.0010891889552862603,0.0003998633194471708
table,0.001878807388291868,1.971763007773973,0.08126170173617812,0.0017261323026847664,0.00015267508560710158
future,0.004627137644029946,1.4999559515290868,0.38494842148925795,0.002845928311947094,0.0017812093320828516
22,0.001288651740887004,1.8919980393051103,0.15232706588561107,0.0010923552022493019,0.00019629653863770203
policy,0.002934732377162636,1.9088051576214917,0.5301443623497606,0.0013789005524045535,0.0015558318247580827
level,0.002709183755260306,1.6168947490601897,0.4588878140724941,0.0014659723438881936,0.0012432114113721127
new,0.004185966300280147,1.41369560724468,0.7138302886949074,0.001197896767684017,0.0029880695325961307
variables,0.0010696637656808382,2.282574534919524,0.0,0.0010696637656808382,0
analysis,0.0019112863477356802,1.781649982136245,0.12172312629771873,0.0016786385982391445,0.00023264774949653574
results,0.002031072433480459,1.7378473594778523,0.1467598713511387,0.0017329925044380229,0.0002980799290424364
11,0.0014724687703445917,1.808883132594604,0.14812352529687955,0.0012543615051915896,0.00021810726515300225
high,0.002464705462843116,1.6635353265133008,0.3097227800821807,0.0017013300348076082,0.0007633754280355078
